Date,Symbols,Close,High,Low,Open,Volume
2021-10-01,AAPL.US,142.44,142.71,138.91,141.69,94777704
2021-10-01,GOOGL,2730.86,2738.21,2681.46,2688.95,1768009
2021-10-01,FB,343.01,345.02,338.64,341.61,14905311
2021-10-01,PFE,42.556,42.72,41.337,42.15,38820794
2021-10-01,BNTX,254.79,259.24,230.0301,251.0,6885350
2021-10-01,MRNA,341.09,359.115,323.41,358.33,34351288
2021-10-01,AMZN,3283.26,3309.1746,3255.94,3289.01,2835617
2021-09-30,AAPL.US,141.29,144.17,141.07,143.45,89186639
2021-09-30,GOOGL,2673.52,2710.85,2671.12,2685.23,1901440
2021-09-30,FB,339.39,342.8,338.15,340.445,16547094
2021-09-30,PFE,42.636,43.667,42.596,43.409,21297906
2021-09-30,BNTX,272.99,282.5,268.83,278.14,2639207
2021-09-30,MRNA,384.86,390.6,377.1001,381.82,9611512
2021-09-30,AMZN,3285.04,3327.85,3273.99,3316.0,2847033
2021-09-29,AAPL.US,142.62,144.24,141.82,142.26,74710923
2021-09-29,GOOGL,2687.07,2743.02,2677.3,2739.6,1542435
2021-09-29,FB,339.61,345.23,338.88,343.15,14452241
2021-09-29,PFE,43.151,43.31,42.705,42.844,18195569
2021-09-29,BNTX,277.44,292.81,275.58,287.0,2776305
2021-09-29,MRNA,378.9,397.98,375.5543,393.21,11416664
2021-09-29,AMZN,3301.12,3351.3,3297.87,3322.11,2562268
2021-09-28,AAPL.US,141.7,144.54,141.48,143.04,109131381
2021-09-28,GOOGL,2716.6,2781.93,2707.2,2773.1,2288610
2021-09-28,FB,340.65,349.6,338.92,347.97,21710286
2021-09-28,PFE,42.665,42.903,42.061,42.695,28762498
2021-09-28,BNTX,276.52,296.9,275.0,293.7,5854394
2021-09-28,MRNA,384.21,403.2957,376.03,398.56,15935985
2021-09-28,AMZN,3315.96,3369.19,3290.1001,3357.71,4430819
2021-09-27,AAPL.US,145.16,145.75,143.61,145.26,74258950
2021-09-27,GOOGL,2821.44,2838.7699,2801.35,2816.0853,1094098
2021-09-27,FB,353.58,355.15,347.08,349.805,15205843
2021-09-27,PFE,43.191,43.746,43.131,43.538,20131071
2021-09-27,BNTX,307.09,338.5,305.51,335.3614,4089349
2021-09-27,MRNA,408.84,434.0,407.255,430.6008,13348196
2021-09-27,AMZN,3405.8,3415.57,3339.61,3371.5,3634450
2021-09-24,AAPL.US,146.71,147.26,145.35,145.45,53555918
2021-09-24,GOOGL,2844.3,2846.605,2804.82,2810.77,1149195
2021-09-24,FB,352.96,354.35,342.37,343.2387,18801933
2021-09-24,PFE,43.558,44.024,43.429,43.687,16292515
2021-09-24,BNTX,333.48,350.92,332.4,350.0,2603105
2021-09-24,MRNA,430.14,453.61,426.61,448.08,12984587
2021-09-24,AMZN,3425.52,3429.26,3393.4,3402.01,2116241
